i,Pref[i],Char[i],Used[i]
1542,712,119,9
1543,122,36,1
1544,39,41,1
1545,1467,83,1
1546,1501,101,3
1547,104,103,5
1548,1318,105,1
1549,280,101,11
1550,104,47,1
1551,50,100,1
1552,888,114,1
1553,117,107,5
1554,817,32,1
1555,669,111,1
1556,502,115,2
1557,424,104,1
1558,371,97,13
1559,714,32,3
1560,800,76,1
1561,79,111,3
1562,268,101,3
1563,482,98,1
1564,101,114,2
1565,1456,32,1
1566,682,83,2
1567,86,104,2
1568,728,116,3
1569,119,33,2
1570,36,41,9
1571,1478,13,13
1572,770,74,1
1573,77,117,3
1574,404,116,8
1575,533,116,16
1576,936,105,1
1577,1252,32,3
1578,421,117,19
1579,821,97,2
1580,320,32,17
1581,353,100,1
1582,465,97,5
1583,355,111,1
1584,1382,104,1
1585,1079,32,9
1586,393,103,1
1587,835,44,2
1588,833,105,12
1589,108,102,13
1590,1349,117,9
1591,821,99,3
1592,1135,110,24
1593,1056,103,4
1594,1110,105,3
1595,280,46,8
1596,1301,72,1
1597,751,87,5
1598,753,84,3
1599,87,79,28
1600,755,71,1
1601,74,69,13
1602,72,84,12
1603,1419,73,11
1604,76,84,23
1605,87,45,1
1606,1442,45,52
1607,1441,65,1
1608,569,32,1
1609,486,103,1
1610,1272,108,1
1611,1514,32,11
1612,949,114,4
1613,282,98,3
1614,101,108,17
1615,495,109,1
1616,591,102,1
1617,105,111,32
1618,971,116,5
1619,905,121,1
1620,820,116,1
1621,457,13,2
1622,692,13,19
1623,770,73,1
1624,76,110,5
1625,1139,111,4
1626,661,101,1
1627,1279,101,19
1628,289,121,3
1629,124,100,4
1630,915,32,1
1631,343,119,1
1632,122,110,7
1633,863,32,5
1634,353,116,18
1635,119,39,2
1636,880,110,2
1637,292,120,3
1638,123,116,5
